x,y
-193.19836207193805,-887.4977594809689
-195.75237521201416,-871.9917587045129
-208.4710162942356,-890.5451751310422
-126.55416892375878,-1015.1052334727333
-182.6887221348051,-971.98826235609
-219.38346578886157,-945.741562920093
-231.2764975410907,-936.4312957674583
-264.5224056977866,-923.4252833486036
-253.87852371693972,-916.0346864434146
-261.60036404813684,-914.8928998754511
-257.4505091601576,-893.9865153302944
-254.07655811461737,-895.3685011996115
-236.60357774453797,-913.5334168505372
-226.73231574108593,-873.0223674767725
-221.8954674974865,-867.29006330893
-296.30427496374483,-931.433167804141
-333.8454092790289,-924.5425872953969
-303.4793976071256,-883.8921891626844
-300.907243724855,-880.9220530719358
-352.44968183715764,-929.2858803500842
-340.74441709421336,-912.7703961638717
-322.5631179922815,-885.7204238369627
-322.54706514538907,-885.5216882449214
-304.34803895593905,-848.4714579043543
-300.41414858760254,-838.7003259364967
-291.8006606028214,-828.6894877038463
-278.8494898899968,-851.8298692454076
-282.46007988841797,-852.0696283851148
-287.9041898671879,-823.4129964427802
-284.7033705867791,-823.0890303730065
-254.7403786314838,-811.3564659396995
-236.46037258723564,-815.4074012407848
-255.77948363579964,-834.2945873647818
-209.9828294002249,-838.7732937896376
-194.6658058950839,-824.0775332958051
-206.38107747448908,-821.8955916027028
-187.570281458282,-792.552153261269
-187.4219417187262,-792.4361937597482
-201.41097884206786,-768.1270907768272
-217.45370425206053,-770.7955592070412
-228.91137997926484,-782.1984467176185
-193.06212659412492,-758.1224384208393
-193.447602339386,-726.5942540311164
-209.20626670882623,-752.6232364047518
-180.8467649034165,-728.8079982062901
-140.28573093338738,-674.9186975310439
-129.90519754209475,-677.6100029209776
-118.40908077834595,-646.3472227159923
-112.57683645626908,-604.3730102898983
-101.90607095927082,-602.2359291042601
-76.71404095263873,-605.9369979887406
-83.48183885014816,-600.7323993282298
-83.39693377615882,-600.5734992807519
-80.95412107389951,-596.4153071335734
-81.4275054482506,-596.7935126844102
-90.05365081127422,-589.2053366663051
-63.89606488782368,-572.3762534828061
-42.186793039769384,-562.3622828590692
-57.46951967381309,-541.7857611545594
-57.58537814949142,-541.961774240235
-47.500407161692266,-546.1020757813264
-41.77756613345454,-539.9993260634601
-32.88311844407019,-545.1605647863333
-33.12027857484422,-528.7979190481806
-6.938939959230929,-525.0304184597546
1.9888071139909052,-519.1860046108898
16.817680890217353,-514.4037335874343
16.653065175460394,-514.3320440267495
1.7984699200676388,-507.2088615049213
1.085747091843766,-505.8466961513217
-2.8099322107277978,-503.4660547009244
-0.22848156929819652,-501.71797362211
-18.591603755811768,-508.7399601499619
-31.15420879429245,-484.581814101703
-43.82731707122108,-482.6855857403054
26.302956439066037,-515.9428925124519
44.49713509407131,-519.1592773669462
43.05322665273097,-515.5229369695377
50.953464786398975,-526.9292970035763
50.79476660127414,-526.8635822716801
55.784563729761956,-526.1312061082537
82.66140129418669,-537.3583063044032
83.72485014627628,-538.9925115678025
83.55264498157803,-538.9305143880636
84.4952950600811,-550.2541051361022
72.19459808372332,-546.4422325281118
70.58569529591966,-548.4464659497514
72.11351484824021,-544.6722209464206
107.23559382250195,-557.2941269933767
116.25643626551822,-551.112438543998
100.3886018346715,-540.7666837088796
95.0583360802911,-540.7740392009968
116.38778747988815,-531.9729591177531
116.52823213070802,-531.9050067343575
124.18243311975465,-515.7560188709542
137.56311734358164,-509.7925462296171
136.22287907393775,-510.10718408442915
135.76997977420208,-510.8964579914301
148.52992106724534,-516.5173229953804
148.72167453236756,-516.5153370317362
167.54652053679337,-497.08291543638586
182.72369652364037,-501.24829067258224
213.73812207335462,-481.4919964943098
213.83873711346456,-481.363068397715
217.1615224738692,-465.2951767091753
222.3405480989669,-454.0415890136684
240.62523495587726,-456.68740460475794
262.9140353511919,-427.2634922856762
277.1088789575318,-380.3884342307484
279.46486264618636,-400.27114987435306
289.1665319635906,-391.9166664720274
295.136615924242,-374.0205739139899
295.2261655664404,-373.88051284270125
310.96800011708945,-359.7490374765897
311.17232465246565,-359.82151239176596
315.83237698156245,-343.122950104318
332.3680657339409,-317.4628341309282
332.43396484139583,-317.27974375986565
349.16026151414206,-301.9875011430511
349.0484319087129,-282.8118683548305
349.09242816217784,-282.6463346896671
364.93094751718615,-254.4362684632045
